Year,Month,Day,Weight,Exercises
2023,August,17,164,
2023,August,18,163,
2023,August,19,162.1,
2023,August,20,162.9,
2023,August,22,162.4,
2023,August,23,164.1,
2023,August,24,163.6,
2023,August,26,161.7,
2023,August,27,163,
2023,September,11,165,
2023,September,13,162,
2023,September,14,163,
2023,September,17,162.9,
2023,September,18,163.5,
2023,September,25,166.9,
2023,September,29,166.7,
2023,October,1,167.7,
2023,October,3,168,
2023,October,4,168.4,
2023,October,8,167.1,
2023,October,11,168.2,
2023,October,12,168.7,
2023,October,13,169.9,
2023,October,15,169.9,
2023,October,16,168.7,
2023,October,18,169.9,
2023,October,19,171.3,
2023,October,21,168.5,
2023,October,22,169,
2023,October,26,173.4,
2023,October,31,172.1,
2023,November,28,182,
2023,December,11,182,
2023,December,14,181.2,
2024,January,15,183.5,
2024,January,17,186.5,
2024,January,19,184.5,
2024,January,24,183.2,
2024,January,26,183,
2024,January,28,181.9,
2024,February,12,183.9,
2024,February,13,185.2,
2024,February,15,183.3,
2024,February,20,182.8,
2024,February,24,182.8,
2024,March,2,189.8,
2024,March,3,184.6,
2024,March,5,186.0,
2024,March,6,187.6,
2024,March,8,186.0,
